Year,Season,Koppen climate classification,Climate,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Ta_h (C),Ta_m (C),Ta_l (C),Operative temperature (C),Radiant temperature (C),Globe temperature (C),Tg_h (C),Tg_m (C),Tg_l (C),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Velocity_h (m/s),Velocity_m (m/s),Velocity_l (m/s),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C)
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,25,Female,0,1,no change,1,no change,NA,-1.22,36.28,21.06,0.5,1.25,1.1,1.1,1.7,1.1,20.5,NA,20.5,NA,20.7,NA,NA,NA,20.7,NA,59.8,NA,NA,0.16,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,35,Male,0,1,no change,1,no change,NA,0.2,5,26.24,0.71,1.4,1.1,1.1,1.1,1.1,22.7,NA,22.7,NA,22.8,NA,NA,NA,22.8,NA,50,NA,NA,0.12,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,55,Female,1,0,cooler,1,no change,NA,-0.4,9,23.55,0.54,1.2,1,1,1.7,1,22.9,NA,22.9,NA,23.2,NA,NA,NA,23.2,NA,48.7,NA,NA,0.07,NA,0.07,NA,NA,NA,NA,NA,NA,1,NA,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,35,Male,-1,1,warmer,1,less,NA,-1.4,43,20.69,0.63,1.1,1.7,1.4,1,1,19.8,NA,19.8,NA,20.1,NA,NA,NA,20.1,NA,57.6,NA,NA,0.11,NA,0.11,NA,NA,NA,1,NA,NA,NA,1,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,45,Male,-2.5,0,warmer,1,no change,NA,-0.4,9,23.69,0.85,1.2,1.1,1.1,1.7,1.7,20.4,NA,20.4,NA,20.7,NA,NA,NA,20.8,NA,57.4,NA,NA,0.03,NA,0.03,NA,NA,NA,0,NA,0,0,0,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,65,Female,-1,1,warmer,0,more,NA,-0.5,11,22.92,0.45,1.3,1.1,1.1,1.1,1.1,22.7,NA,22.7,NA,22.7,NA,NA,NA,22.7,NA,49.5,NA,NA,0.09,NA,0.09,NA,NA,NA,0,NA,NA,1,0,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,55,Male,1,0,cooler,0,more,NA,-0.9,23,22.37,0.46,1.1,1.1,1.1,1.1,1.1,22.9,NA,22.9,NA,23.2,NA,NA,NA,23.1,NA,50.2,NA,NA,0.12,NA,0.12,NA,NA,NA,0,NA,0,0,0,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,55,Female,0,1,warmer,1,no change,NA,-0.7,15,22.23,0.53,1.4,1.1,1.1,1.1,1.1,20.3,NA,20.3,NA,20.2,NA,NA,NA,20.2,NA,58.3,NA,NA,0.08,NA,0.08,NA,NA,NA,0,NA,NA,0,0,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,55,Male,1,0,no change,1,no change,NA,-1.2,37,21.71,0.46,1,1.1,1,1,1.7,22.8,NA,22.8,NA,23,NA,NA,NA,23.1,NA,51.8,NA,NA,0.07,NA,0.07,NA,NA,NA,0,NA,0,0,0,13
2009,Winter,Cfa,Humid subtropical,Mixed Mode,Air Conditioned,Mechanical Heating,45,Male,0,1,no change,1,no change,NA,-0.4,9,23.66,0.84,1.4,1.1,1.1,1.4,1.1,18.7,NA,18.7,NA,18.8,NA,NA,NA,18.8,NA,65.6,NA,NA,0.1,NA,0.1,NA,NA,NA,0,NA,0,0,0,13
